python train_speech_embedder.py 
---------------------------------
EER : 0.10 (thres:0.57, FAR:0.11, FRR:0.08)

EER : 0.00 (thres:0.53, FAR:0.00, FRR:0.00)

EER : 0.08 (thres:0.69, FAR:0.08, FRR:0.08)

EER : 0.00 (thres:0.54, FAR:0.00, FRR:0.00)

EER : 0.29 (thres:0.78, FAR:0.33, FRR:0.25)

EER : 0.08 (thres:0.50, FAR:0.08, FRR:0.08)

EER : 0.07 (thres:0.61, FAR:0.06, FRR:0.08)

EER : 0.01 (thres:0.50, FAR:0.03, FRR:0.00)

EER : 0.08 (thres:0.76, FAR:0.08, FRR:0.08)

EER : 0.15 (thres:0.82, FAR:0.14, FRR:0.17)

EER : 0.01 (thres:0.58, FAR:0.03, FRR:0.00)

EER : 0.01 (thres:0.51, FAR:0.03, FRR:0.00)

EER : 0.08 (thres:0.69, FAR:0.08, FRR:0.08)

EER : 0.00 (thres:0.61, FAR:0.00, FRR:0.00)

EER : 0.00 (thres:0.53, FAR:0.00, FRR:0.00)

EER : 0.17 (thres:0.78, FAR:0.17, FRR:0.17)

EER : 0.00 (thres:0.69, FAR:0.00, FRR:0.00)

EER : 0.00 (thres:0.53, FAR:0.00, FRR:0.00)

EER : 0.15 (thres:0.71, FAR:0.14, FRR:0.17)

EER : 0.11 (thres:0.81, FAR:0.14, FRR:0.08)

EER : 0.00 (thres:0.65, FAR:0.00, FRR:0.00)

EER : 0.17 (thres:0.73, FAR:0.17, FRR:0.17)

EER : 0.15 (thres:0.79, FAR:0.14, FRR:0.17)

EER : 0.07 (thres:0.80, FAR:0.06, FRR:0.08)

EER : 0.00 (thres:0.65, FAR:0.00, FRR:0.00)

EER : 0.00 (thres:0.50, FAR:0.00, FRR:0.00)

EER : 0.00 (thres:0.50, FAR:0.00, FRR:0.00)

EER : 0.17 (thres:0.71, FAR:0.17, FRR:0.17)

EER : 0.00 (thres:0.66, FAR:0.00, FRR:0.00)

EER : 0.26 (thres:0.84, FAR:0.28, FRR:0.25)

EER : 0.17 (thres:0.71, FAR:0.17, FRR:0.17)

EER : 0.21 (thres:0.80, FAR:0.17, FRR:0.25)

EER : 0.00 (thres:0.66, FAR:0.00, FRR:0.00)

EER : 0.17 (thres:0.75, FAR:0.17, FRR:0.17)

EER : 0.00 (thres:0.64, FAR:0.00, FRR:0.00)

EER : 0.00 (thres:0.50, FAR:0.00, FRR:0.00)

EER : 0.17 (thres:0.88, FAR:0.17, FRR:0.17)

EER : 0.00 (thres:0.50, FAR:0.00, FRR:0.00)

EER : 0.11 (thres:0.67, FAR:0.14, FRR:0.08)

EER : 0.00 (thres:0.57, FAR:0.00, FRR:0.00)

EER across 10 epochs: 0.0764
